DATASET,DATE,TEAMS,VENUE,1Q,2Q,3Q,4Q,OT1,OT2,OT3,OT4,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,STARTING LINEUPS,,,,,MAIN REFEREE,CREW REFEREES,OPENING ODDS,SPREAD,TOTAL,MOVEMENTS,CLOSING,MONEYLINE,HALFTIME,BOX SCORE,ODDS
2009-2010 Regular Season,02/19/10,Atlanta,Road,23,27,16,14,,,,,80,240,30,76,3,14,17,25,9,27,36,12,17,8,15,6,80,90.3,90.3,88.6,97.5,1,M.Williams,J.Smith,A.Horford,J.Johnson,M.Bibby,Joe Crawford,Scott Wall,212,3.5,212,12 / 213 / 212.5,212,160,,,
2009-2010 Regular Season,02/19/10,Phoenix,Home,26,23,21,18,,,,,88,240,37,82,2,18,12,17,14,36,50,15,19,8,17,3,88,90.3,90.3,97.5,88.6,3IN4,G.Hill,A.Stoudemire,R.Lopez,J.Richardson,S.Nash,,Derrick Collins,-3.5,-3.5,212,3.5  / -3.5 -05,-4 -05,-180,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Utah,Road,28,31,26,15,,,,,100,240,38,89,8,21,16,24,14,34,48,32,20,13,15,10,100,98.5,98.5,101.5,90.4,3IN4,A.Kirilenko,P.Millsap,C.Boozer,W.Matthews,D.Williams,Dan Crawford,John Goble,-5.5,-5.5,218.5,5.5  / -6  / -6 -05,-5 -05,-210,,,
2009-2010 Regular Season,02/19/10,Golden State,Home,31,10,24,24,,,,,89,240,29,78,8,21,23,25,10,38,48,21,21,13,22,3,89,98.5,98.5,90.4,101.5,3IN4,A.Morrow,C.Maggette,A.Biedrins,M.Ellis,S.Curry,,Marat Kogut,218.5,5.5,218.5,19.5 / 220.5 / 221,221.5,175,,Boxscore,Odds
2009-2010 Regular Season,02/19/10,Boston,Road,32,24,17,23,,,,,96,240,39,73,6,16,12,23,5,28,33,27,26,8,17,6,96,90.0,90.0,106.6,84.4,3IN4-B2B,P.Pierce,K.Garnett,K.Perkins,R.Allen,R.Rondo,Bill Spooner,Eric Lewis,186.5,2,186.5,86.5,186,140,,,
2009-2010 Regular Season,02/19/10,Portland,Home,25,13,23,15,,,,,76,240,22,65,2,12,30,40,10,25,35,7,22,9,18,8,76,90.0,90.0,84.4,106.6,2,M.Webster,L.Aldridge,M.Camby,B.Roy,A.Miller,,Curtis Blair,-2 -05,-2,186.5,2.5 -05 / -3 -05 / -3.5 -05,-3 -05,-160,,Boxscore,Odds
2009-2010 Regular Season,02/20/10,Washington,Road,32,25,31,16,,,,,104,240,43,91,6,14,12,18,16,18,34,20,26,4,14,4,104,87.5,87.5,118.8,124.5,3IN4-B2B,M.Miller,A.Blatche,J.McGee,J.Howard,R.Foye,James Capers,Monty McCutchen,207u10,7,207,07 / 206 / 205,204.5,250,,,
2009-2010 Regular Season,02/20/10,Toronto,Home,34,30,21,24,,,,,109,240,38,73,7,13,26,32,14,24,38,21,19,4,14,7,109,87.5,87.5,124.5,118.8,3IN4-B2B,H.Turkoglu,A.Bargnani,R.Nesterovic,D.DeRozan,J.Jack,,Olandis Poole,-7  EVEN,-7,207,7 EVEN / -6.5 -05 / -6.5,-7,-300,,Boxscore,Odds
2009-2010 Regular Season,02/20/10,Oklahoma City,Road,25,27,30,23,16,,,,121,265,43,89,5,13,30,41,16,35,51,18,25,8,18,4,121,108.5,98.3,111.5,108.7,3+,K.Durant,J.Green,N.Krstic,T.Sefolosha,R.Westbrook,Ron Garretson,Michael Smith,-6,-6,202,6,-5.5,-220,,,
2009-2010 Regular Season,02/20/10,New York,Home,31,26,23,25,13,,,,118,265,46,94,8,29,18,23,9,33,42,26,27,6,17,4,118,108.5,98.3,108.7,111.5,2,W.Chandler,D.Gallinari,D.Lee,C.Duhon,T.McGrady,,Eric Dalen,202,6,202,05.5 / 206 / 206.5,207,180,,Boxscore,Odds
2009-2010 Regular Season,02/20/10,Philadelphia,Road,23,16,30,21,,,,,90,240,33,86,6,19,18,25,16,33,49,19,22,1,15,4,90,93.4,93.4,96.4,130.6,B2B,A.Iguodala,E.Brand,S.Dalembert,A.Iverson,J.Holiday,Kevin Fehr,Scott Foster,193.5,5,193.5,95.5 / 196 / 197,196.5,180,,,
2009-2010 Regular Season,02/20/10,Chicago,Home,25,33,30,34,,,,,122,240,44,95,8,15,26,32,17,36,53,26,18,10,4,6,122,93.4,93.4,130.6,96.4,4IN5-B2B,L.Deng,T.Gibson,B.Miller,K.Hinrich,D.Rose,,Courtney Kirkland,-5,-5,193.5,5  / -4.5,-5,-220,,Boxscore,Odds
2009-2010 Regular Season,02/20/10,Miami,Road,27,25,12,27,,,,,91,240,37,80,7,19,10,10,12,31,43,18,25,3,17,2,91,85.2,85.2,106.8,113.8,4IN5-B2B,Q.Richardson,M.Beasley,J.O`Neal,D.Wright,C.Arroyo,Eddie Rush,Leon Wood,184,11.5,184,84o10 / 184 / 184.5,184,475,,,
2009-2010 Regular Season,02/20/10,Dallas,Home,21,23,27,26,,,,,97,240,33,73,3,16,28,33,9,27,36,24,14,7,7,3,97,85.2,85.2,113.8,106.8,4IN5-B2B,S.Marion,D.Nowitzki,B.Haywood,C.Butler,J.Kidd,,Haywoode Workman,-11.5  EVEN,-11.5,184,10.5  / -10  / -10.5,-10,-650,,Boxscore,Odds
2009-2010 Regular Season,02/20/10,Indiana,Road,27,27,36,35,,,,,125,240,46,93,11,20,22,31,11,35,46,17,23,9,14,5,125,105.1,105.1,118.9,109.4,3IN4-B2B,D.Granger,T.Murphy,R.Hibbert,B.Rush,E.Watson,Tom Washington,Jason Phillips,205,8,205,07.5 / 208 / 208.5,209,280,,,
2009-2010 Regular Season,02/20/10,Houston,Home,30,35,25,25,,,,,115,240,42,90,12,25,19,29,14,35,49,28,22,7,16,7,115,105.1,105.1,109.4,118.9,2,S.Battier,L.Scola,C.Hayes,T.Ariza,A.Brooks,,Eli Roe,-8,-8,205,8,-7.5,-340,,Boxscore,Odds
2009-2010 Regular Season,02/20/10,Charlotte,Road,16,23,23,26,,,,,88,240,33,75,6,12,16,19,8,30,38,19,24,4,17,7,88,91.4,91.4,96.3,101.8,B2B,G.Wallace,B.Diaw,N.Mohammed,S.Jackson,R.Felton,Derrick Stafford,Pat Fraher,189,2.5,189,89,188.5,135,,,
2009-2010 Regular Season,02/20/10,Milwaukee,Home,24,30,19,20,,,,,93,240,32,79,9,24,20,26,11,33,44,22,26,6,16,8,93,91.4,91.4,101.8,96.3,3IN4-B2B,C.Delfino,L.Mbah a Moute,A.Bogut,C.Bell,B.Jennings,,Sean Wright,-2.5,-2.5,189,2.5  / -3  / -3.5,-3,-155,,Boxscore,Odds
2009-2010 Regular Season,02/20/10,Sacramento,Road,22,23,23,21,,,,,89,240,35,77,4,14,15,25,5,27,32,19,23,8,17,3,89,98.5,98.5,90.3,100.5,2,O.Casspi,C.Landry,J.Thompson,F.Garcia,T.Evans,Bob Delaney,Rodney Mott,202,1.5,202,K  / -1  / -1.5,-2,-130,,,
2009-2010 Regular Season,02/20/10,LA Clippers,Home,21,39,17,22,,,,,99,240,35,79,11,22,18,21,10,35,45,23,24,3,24,6,99,98.5,98.5,100.5,90.3,2,R.Butler,C.Smith,C.Kaman,E.Gordon,S.Blake,,Leroy Richardson,-1.5 -05,-1.5,202,2,201.5,110,,Boxscore,Odds
2009-2010 Regular Season,02/21/10,Cleveland,Road,18,25,32,20,,,,,95,240,38,82,3,16,16,25,9,34,43,15,21,7,14,6,95,91.8,91.8,103.5,110.0,3IN4,L.James,J.Hickson,S.O`Neal,A.Parker,M.Williams,Joe DeRosa,Gary Zielinski,196.5,2,196.5,95.5 / 196 / 196.5,197,110,,,
2009-2010 Regular Season,02/21/10,Orlando,Home,25,24,25,27,,,,,101,240,37,73,8,20,19,27,6,28,34,13,19,7,11,5,101,91.8,91.8,110.0,103.5,1,M.Barnes,R.Lewis,D.Howard,V.Carter,J.Nelson,,Tony Brown,-2 -07,-2,196.5,2 -07 / -2  / -1.5,-2,-130,,Boxscore,Odds
